IP地址,端口,TLS,数据中心,地区,城市,网络延迟
92.223.120.15,443,true,SJC,North America,San Jose,1 ms
92.223.120.13,443,true,SJC,North America,San Jose,2 ms
92.223.120.12,443,true,SJC,North America,San Jose,2 ms
92.223.120.14,443,true,SJC,North America,San Jose,2 ms
92.223.120.10,443,true,SJC,North America,San Jose,2 ms
92.38.170.10,443,true,LAX,North America,Los Angeles,7 ms
92.38.170.7,443,true,LAX,North America,Los Angeles,7 ms
92.38.170.8,443,true,LAX,North America,Los Angeles,7 ms
92.38.170.6,443,true,LAX,North America,Los Angeles,8 ms
78.111.103.61,443,true,SEA,North America,Seattle,19 ms
78.111.103.4,443,true,SEA,North America,Seattle,20 ms
78.111.103.62,443,true,SEA,North America,Seattle,21 ms
78.111.103.5,443,true,SEA,North America,Seattle,21 ms
80.93.221.4,443,true,DEN,North America,Denver,25 ms
80.93.221.62,443,true,DEN,North America,Denver,25 ms
80.93.221.61,443,true,DEN,North America,Denver,25 ms
185.101.136.13,443,true,DFW,North America,Dallas,37 ms
185.101.136.7,443,true,DFW,North America,Dallas,37 ms
185.101.136.30,443,true,DFW,North America,Dallas,37 ms
185.101.136.29,443,true,DFW,North America,Dallas,37 ms
185.101.136.9,443,true,DFW,North America,Dallas,37 ms
185.101.136.12,443,true,DFW,North America,Dallas,37 ms
185.101.136.8,443,true,DFW,North America,Dallas,37 ms
92.223.68.25,443,true,ORD,North America,Chicago,47 ms
92.223.68.30,443,true,ORD,North America,Chicago,47 ms
92.223.68.26,443,true,ORD,North America,Chicago,47 ms
45.65.8.4,443,true,MSP,North America,Minneapolis,47 ms
45.65.8.61,443,true,MSP,North America,Minneapolis,47 ms
92.223.68.27,443,true,ORD,North America,Chicago,47 ms
5.8.92.5,443,true,IAH,North America,Houston,48 ms
5.8.92.4,443,true,IAH,North America,Houston,48 ms
5.8.92.6,443,true,IAH,North America,Houston,48 ms
45.65.8.62,443,true,MSP,North America,Minneapolis,48 ms
5.8.92.62,443,true,IAH,North America,Houston,49 ms
92.38.159.5,443,true,ATL,North America,Atlanta,54 ms
92.38.159.14,443,true,ATL,North America,Atlanta,55 ms
92.38.159.4,443,true,ATL,North America,Atlanta,55 ms
5.101.222.14,443,true,YYZ,North America,Toronto,59 ms
5.101.222.4,443,true,YYZ,North America,Toronto,60 ms
5.101.222.5,443,true,YYZ,North America,Toronto,60 ms
5.101.222.13,443,true,YYZ,North America,Toronto,60 ms
213.156.144.6,443,true,IAH,North America,Houston,60 ms
213.156.144.7,443,true,MFE,North America,McAllen,60 ms
213.156.144.61,443,true,QRO,North America,Queretaro,60 ms
213.156.144.5,443,true,IAH,North America,Houston,60 ms
213.156.144.4,443,true,QRO,North America,Queretaro,60 ms
213.156.144.62,443,true,QRO,North America,Queretaro,60 ms
92.223.107.56,443,true,MIA,North America,Miami,70 ms
92.38.168.14,443,true,EWR,North America,Newark,70 ms
92.223.107.43,443,true,MIA,North America,Miami,70 ms
92.223.107.61,443,true,MIA,North America,Miami,70 ms
