IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
92.223.120.12,4,4,0.00,1.79,0.00
92.223.120.15,4,4,0.00,1.80,0.00
92.223.120.14,4,4,0.00,1.91,0.00
92.223.120.14,4,4,0.00,1.91,0.00
92.223.120.13,4,4,0.00,2.03,0.00
92.223.120.12,4,4,0.00,2.24,0.00
92.223.120.15,4,4,0.00,2.31,0.00
92.223.120.10,4,4,0.00,2.68,0.00
92.223.120.10,4,4,0.00,2.77,0.00
92.223.120.13,4,4,0.00,5.76,0.00
92.38.170.6,4,4,0.00,7.15,0.00
92.38.170.6,4,4,0.00,7.16,0.00
92.38.170.8,4,4,0.00,7.21,0.00
92.38.170.10,4,4,0.00,7.25,0.00
92.38.170.8,4,4,0.00,7.25,0.00
92.38.170.10,4,4,0.00,7.26,0.00
92.38.170.7,4,4,0.00,7.31,0.00
92.38.170.7,4,4,0.00,7.68,0.00
78.111.103.5,4,4,0.00,20.57,0.00
78.111.103.5,4,4,0.00,21.00,0.00
78.111.103.4,4,4,0.00,21.41,0.00
78.111.103.4,4,4,0.00,21.45,0.00
78.111.103.61,4,4,0.00,21.98,0.00
78.111.103.62,4,4,0.00,22.90,0.00
80.93.221.4,4,4,0.00,25.13,0.00
80.93.221.62,4,4,0.00,25.13,0.00
80.93.221.4,4,4,0.00,25.20,0.00
80.93.221.61,4,4,0.00,25.22,0.00
185.101.136.13,4,4,0.00,37.41,0.00
185.101.136.7,4,4,0.00,37.42,0.00
185.101.136.8,4,4,0.00,37.43,0.00
185.101.136.12,4,4,0.00,37.44,0.00
185.101.136.9,4,4,0.00,37.48,0.00
185.101.136.7,4,4,0.00,37.51,0.00
185.101.136.8,4,4,0.00,37.54,0.00
185.101.136.30,4,4,0.00,37.55,0.00
185.101.136.13,4,4,0.00,37.57,0.00
185.101.136.9,4,4,0.00,37.58,0.00
185.101.136.29,4,4,0.00,37.60,0.00
185.101.136.12,4,4,0.00,37.61,0.00
92.223.68.27,4,4,0.00,47.73,0.00
92.223.68.26,4,4,0.00,47.81,0.00
45.65.8.4,4,4,0.00,47.84,0.00
92.223.68.25,4,4,0.00,47.98,0.00
92.223.68.27,4,4,0.00,48.01,0.00
92.223.68.26,4,4,0.00,48.02,0.00
45.65.8.4,4,4,0.00,48.09,0.00
92.223.68.25,4,4,0.00,48.16,0.00
92.223.68.30,4,4,0.00,48.16,0.00
5.8.92.5,4,4,0.00,48.52,0.00
5.8.92.4,4,4,0.00,48.60,0.00
5.8.92.6,4,4,0.00,48.60,0.00
5.8.92.6,4,4,0.00,48.61,0.00
5.8.92.4,4,4,0.00,48.62,0.00
